"State","St_case","Latitude","Longitud","Race","Hispanic","Per_typ","Age","Sex","Inj_sev","County","City","Month","Day","Hour","Func_sys","Drunk_dr","Body_typ","Is_Motorcycle","Race_desc","Per_type_desc","Year","Age_Cohort","Mode","County_Name"
41,410205,44.055044444,-122.8315694,"0",0,1,36,1,2,39,0,8,2,18,2,0,21,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","LANE"
41,410205,44.055044444,-122.8315694,"1",7,1,61,2,4,39,0,8,2,18,2,0,16,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","LANE"
41,410206,42.709047222,-122.5837778,"1",7,1,68,1,4,29,0,8,2,11,3,0,16,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","JACKSON"
41,410206,42.709047222,-122.5837778,"0",0,1,65,2,3,29,0,8,2,11,3,0,20,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","JACKSON"
41,410207,45.112463889,-123.0661028,"7",7,1,47,1,4,71,0,8,3,15,3,0,4,FALSE,"Asian","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","YAMHILL"
41,410207,45.112463889,-123.0661028,"0",0,1,27,2,2,71,0,8,3,15,3,0,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_25_29","Motor Vehicle","YAMHILL"
41,410207,45.112463889,-123.0661028,"0",0,2,3,1,2,71,0,8,3,15,3,0,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_Under5","Motor Vehicle","YAMHILL"
41,410208,45.758266667,-123.1994917,"0",0,1,72,1,3,67,0,8,3,15,4,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","WASHINGTON"
41,410208,45.758266667,-123.1994917,"1",7,2,60,2,4,67,0,8,3,15,4,0,4,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","WASHINGTON"
41,410208,45.758266667,-123.1994917,"0",0,1,19,2,2,67,0,8,3,15,4,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","WASHINGTON"
41,410208,45.758266667,-123.1994917,"0",0,2,17,2,3,67,0,8,3,15,4,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","WASHINGTON"
41,410208,45.758266667,-123.1994917,"0",0,2,18,2,2,67,0,8,3,15,4,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","WASHINGTON"
41,410209,45.367997222,-122.8392083,"1",7,1,26,1,4,67,1900,8,4,22,4,0,80,TRUE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_25_29","Motorcycle","WASHINGTON"
41,410210,45.496994444,-122.5065972,"1",7,5,62,1,4,51,1650,8,4,11,13,0,NA,FALSE,"White","Pedestrian",2004,"Age_55_64","Pedestrian","MULTNOMAH"
41,410210,45.496994444,-122.5065972,"0",0,1,26,2,0,51,1650,8,4,11,13,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_25_29","Motor Vehicle","MULTNOMAH"
41,410210,45.496994444,-122.5065972,"0",0,2,2,1,0,51,1650,8,4,11,13,0,31,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_Under5","Motor Vehicle","MULTNOMAH"
41,410210,45.496994444,-122.5065972,"0",0,2,5,2,0,51,1650,8,4,11,13,0,31,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_Under5","Motor Vehicle","MULTNOMAH"
41,410211,45.218752778,-123.0927278,"0",0,1,21,1,3,71,0,8,5,15,2,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","YAMHILL"
41,410211,45.218752778,-123.0927278,"1",7,2,17,2,4,71,0,8,5,15,2,0,2,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","YAMHILL"
41,410211,45.218752778,-123.0927278,"0",0,1,57,2,3,71,0,8,5,15,2,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","YAMHILL"
41,410212,45.011286111,-123.9784,"0",0,1,85,2,2,41,0,8,5,10,13,0,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_Over_84","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"1",7,1,74,1,4,41,0,8,5,10,13,0,20,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,2,68,2,2,41,0,8,5,10,13,0,20,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,1,33,1,1,41,0,8,5,10,13,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,2,32,2,1,41,0,8,5,10,13,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,2,52,2,2,41,0,8,5,10,13,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,2,77,2,1,41,0,8,5,10,13,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_75_84","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,1,73,1,0,41,0,8,5,10,13,0,20,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","LINCOLN"
41,410212,45.011286111,-123.9784,"0",0,2,70,2,0,41,0,8,5,10,13,0,20,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","LINCOLN"
41,410213,44.641119444,-123.9478194,"0",0,1,75,1,3,41,0,8,5,16,4,0,20,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_75_84","Motor Vehicle","LINCOLN"
41,410213,44.641119444,-123.9478194,"1",7,2,71,2,4,41,0,8,5,16,4,0,20,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_65_74","Motor Vehicle","LINCOLN"
41,410213,44.641119444,-123.9478194,"0",0,1,57,1,0,41,0,8,5,16,4,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","LINCOLN"
41,410214,46.094247222,-123.0956333,"1",7,5,48,2,4,9,0,8,6,2,2,1,NA,FALSE,"White","Pedestrian",2004,"Age_45_54","Pedestrian","COLUMBIA"
41,410214,46.094247222,-123.0956333,"0",0,1,44,1,0,9,0,8,6,2,2,1,3,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","COLUMBIA"
41,410215,43.166466667,-122.3731528,"0",0,1,42,1,2,19,0,8,7,16,6,1,15,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","DOUGLAS"
41,410215,43.166466667,-122.3731528,"1",7,2,43,1,4,19,0,8,7,16,6,1,15,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","DOUGLAS"
41,410216,42.417283333,-122.7736194,"1",7,1,53,1,4,29,0,8,8,18,6,1,14,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","JACKSON"
41,410217,45.470944444,-122.3589417,"0",0,1,36,1,0,51,0,8,10,16,4,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","MULTNOMAH"
41,410217,45.470944444,-122.3589417,"1",7,1,89,1,4,51,0,8,10,16,4,0,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_Over_84","Motor Vehicle","MULTNOMAH"
41,410217,45.470944444,-122.3589417,"0",0,2,85,2,3,51,0,8,10,16,4,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_Over_84","Motor Vehicle","MULTNOMAH"
41,410218,44.637336111,-120.0981611,"1",7,1,52,1,4,69,0,8,6,11,4,0,80,TRUE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motorcycle","WHEELER"
41,410219,45.518516667,-122.3494944,"1",7,1,49,2,4,51,0,8,9,13,4,0,14,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","MULTNOMAH"
41,410219,45.518516667,-122.3494944,"0",0,1,37,2,2,51,0,8,9,13,4,0,14,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","MULTNOMAH"
41,410219,45.518516667,-122.3494944,"0",0,2,11,2,1,51,0,8,9,13,4,0,14,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_10_14","Motor Vehicle","MULTNOMAH"
